intervalos,canal1,canal2,canal3,canal4,canal5
0,0,0,0,0,528
1,0,0,0,0,512
2,0,0,0,0,491
3,0,0,0,0,477
4,0,0,0,0,471
5,0,0,0,0,463
6,0,0,0,0,459
7,0,0,0,0,457
8,0,0,0,0,459
9,0,0,0,0,464
10,0,0,0,0,465
11,0,0,0,0,469
12,0,0,0,0,475
13,0,0,0,0,477
14,0,0,0,0,480
15,0,0,0,0,483
0,0,0,0,0,483
1,0,0,0,0,484
2,0,0,0,0,484
3,0,0,0,0,488
4,0,0,0,0,490
5,0,0,0,0,489
6,0,0,0,0,487
7,0,0,0,0,486
8,0,0,0,0,485
9,0,0,0,0,488
10,0,0,0,0,492
11,0,0,0,0,491
12,0,0,0,0,491
13,0,0,0,0,489
14,0,0,0,0,490
15,0,0,0,0,491
0,0,0,0,0,491
1,0,0,0,0,492
2,0,0,0,0,492
3,0,0,0,0,494
4,0,0,0,0,495
5,0,0,0,0,495
6,0,0,0,0,498
7,0,0,0,0,496
8,0,0,0,0,497
9,0,0,0,0,492
10,0,0,0,0,492
11,0,0,0,0,496
12,0,0,0,0,496
13,0,0,0,0,497
14,0,0,0,0,498
15,0,0,0,0,500
0,0,0,0,0,497
1,0,0,0,0,498
2,0,0,0,0,496
3,0,0,0,0,500
4,0,0,0,0,502
5,0,0,0,0,499
6,0,0,0,0,506
7,0,0,0,0,510
8,0,0,0,0,510
9,0,0,0,0,512
10,0,0,0,0,507
11,0,0,0,0,499
12,0,0,0,0,499
13,0,0,0,0,499
14,0,0,0,0,496
15,0,0,0,0,497
0,0,0,0,0,499
1,0,0,0,0,500
2,0,0,0,0,503
3,0,0,0,0,528
4,0,0,0,0,568
5,0,0,0,0,521
6,0,0,0,0,536
7,0,0,0,0,299
8,0,0,0,0,288
9,0,0,0,0,410
10,0,0,0,0,480
11,0,0,0,0,540
12,0,0,0,0,575
13,0,0,0,0,579
14,0,0,0,0,577
15,0,0,0,0,570
0,0,0,0,0,568
1,0,0,0,0,568
2,0,0,0,0,563
3,0,0,0,0,559
4,0,0,0,0,556
5,0,0,0,0,557
6,0,0,0,0,557
7,0,0,0,0,553
8,0,0,0,0,551
9,0,0,0,0,550
10,0,0,0,0,551
11,0,0,0,0,544
12,0,0,0,0,531
13,0,0,0,0,521
14,0,0,0,0,511
15,0,0,0,0,498
0,0,0,0,0,486
1,0,0,0,0,477
2,0,0,0,0,473
3,0,0,0,0,468
4,0,0,0,0,468
5,0,0,0,0,467
6,0,0,0,0,469
7,0,0,0,0,472
8,0,0,0,0,473
9,0,0,0,0,479
10,0,0,0,0,483
11,0,0,0,0,489
12,0,0,0,0,492
13,0,0,0,0,494
14,0,0,0,0,489
15,0,0,0,0,491
0,0,0,0,0,494
1,0,0,0,0,490
2,0,0,0,0,489
3,0,0,0,0,490
4,0,0,0,0,492
5,0,0,0,0,495
6,0,0,0,0,494
7,0,0,0,0,494
8,0,0,0,0,494
9,0,0,0,0,497
10,0,0,0,0,496
11,0,0,0,0,494
12,0,0,0,0,495
13,0,0,0,0,493
14,0,0,0,0,490
15,0,0,0,0,493
0,0,0,0,0,494
1,0,0,0,0,495
2,0,0,0,0,499
3,0,0,0,0,499
4,0,0,0,0,502
5,0,0,0,0,504
6,0,0,0,0,505
7,0,0,0,0,506
8,0,0,0,0,508
9,0,0,0,0,511
10,0,0,0,0,513
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,517
14,0,0,0,0,518
15,0,0,0,0,521
0,0,0,0,0,519
1,0,0,0,0,520
2,0,0,0,0,525
3,0,0,0,0,524
4,0,0,0,0,525
5,0,0,0,0,529
6,0,0,0,0,535
7,0,0,0,0,535
8,0,0,0,0,536
