intervalos,canal1,canal2,canal3,canal4,canal5
0,0,0,0,0,502
1,0,0,0,0,503
2,0,0,0,0,506
3,0,0,0,0,504
4,0,0,0,0,503
5,0,0,0,0,503
6,0,0,0,0,504
7,0,0,0,0,504
8,0,0,0,0,505
9,0,0,0,0,505
10,0,0,0,0,505
11,0,0,0,0,507
12,0,0,0,0,504
13,0,0,0,0,504
14,0,0,0,0,505
15,0,0,0,0,504
0,0,0,0,0,504
1,0,0,0,0,505
2,0,0,0,0,506
3,0,0,0,0,505
4,0,0,0,0,508
5,0,0,0,0,507
6,0,0,0,0,504
7,0,0,0,0,504
8,0,0,0,0,506
9,0,0,0,0,509
10,0,0,0,0,509
11,0,0,0,0,507
12,0,0,0,0,507
13,0,0,0,0,506
14,0,0,0,0,507
15,0,0,0,0,508
0,0,0,0,0,506
1,0,0,0,0,505
2,0,0,0,0,506
3,0,0,0,0,507
4,0,0,0,0,508
5,0,0,0,0,508
6,0,0,0,0,509
7,0,0,0,0,510
8,0,0,0,0,509
9,0,0,0,0,510
10,0,0,0,0,509
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,511
14,0,0,0,0,510
15,0,0,0,0,507
0,0,0,0,0,508
1,0,0,0,0,506
2,0,0,0,0,511
3,0,0,0,0,511
4,0,0,0,0,512
5,0,0,0,0,512
6,0,0,0,0,510
7,0,0,0,0,510
8,0,0,0,0,508
9,0,0,0,0,519
10,0,0,0,0,540
11,0,0,0,0,529
12,0,0,0,0,455
13,0,0,0,0,401
14,0,0,0,0,474
15,0,0,0,0,505
0,0,0,0,0,525
1,0,0,0,0,531
2,0,0,0,0,529
3,0,0,0,0,526
4,0,0,0,0,525
5,0,0,0,0,524
6,0,0,0,0,523
7,0,0,0,0,522
8,0,0,0,0,521
9,0,0,0,0,519
10,0,0,0,0,519
11,0,0,0,0,519
12,0,0,0,0,518
13,0,0,0,0,517
14,0,0,0,0,513
15,0,0,0,0,513
0,0,0,0,0,514
1,0,0,0,0,515
2,0,0,0,0,512
3,0,0,0,0,510
4,0,0,0,0,508
5,0,0,0,0,510
6,0,0,0,0,511
7,0,0,0,0,510
8,0,0,0,0,514
9,0,0,0,0,512
10,0,0,0,0,511
11,0,0,0,0,510
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,514
15,0,0,0,0,512
0,0,0,0,0,511
1,0,0,0,0,511
2,0,0,0,0,513
3,0,0,0,0,511
4,0,0,0,0,509
5,0,0,0,0,509
6,0,0,0,0,508
7,0,0,0,0,509
8,0,0,0,0,507
9,0,0,0,0,508
10,0,0,0,0,507
11,0,0,0,0,507
12,0,0,0,0,508
13,0,0,0,0,508
14,0,0,0,0,507
15,0,0,0,0,507
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,509
3,0,0,0,0,510
4,0,0,0,0,507
5,0,0,0,0,508
6,0,0,0,0,508
7,0,0,0,0,508
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,508
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,511
14,0,0,0,0,511
15,0,0,0,0,510
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,508
3,0,0,0,0,508
4,0,0,0,0,508
5,0,0,0,0,511
6,0,0,0,0,512
7,0,0,0,0,509
8,0,0,0,0,505
9,0,0,0,0,505
10,0,0,0,0,506
11,0,0,0,0,509
12,0,0,0,0,510
13,0,0,0,0,510
14,0,0,0,0,509
15,0,0,0,0,507
0,0,0,0,0,507
1,0,0,0,0,514
2,0,0,0,0,538
3,0,0,0,0,536
4,0,0,0,0,468
5,0,0,0,0,381
6,0,0,0,0,450
7,0,0,0,0,503
8,0,0,0,0,525
9,0,0,0,0,535
10,0,0,0,0,532
11,0,0,0,0,531
12,0,0,0,0,530
13,0,0,0,0,527
14,0,0,0,0,524
15,0,0,0,0,525
0,0,0,0,0,524
1,0,0,0,0,522
2,0,0,0,0,520
3,0,0,0,0,518
4,0,0,0,0,516
5,0,0,0,0,516
6,0,0,0,0,514
7,0,0,0,0,516
8,0,0,0,0,517
9,0,0,0,0,518
10,0,0,0,0,516
11,0,0,0,0,514
12,0,0,0,0,511
13,0,0,0,0,510
14,0,0,0,0,510
15,0,0,0,0,509
0,0,0,0,0,510
1,0,0,0,0,509
2,0,0,0,0,507
3,0,0,0,0,504
4,0,0,0,0,506
5,0,0,0,0,506
6,0,0,0,0,507
7,0,0,0,0,508
8,0,0,0,0,507
9,0,0,0,0,507
10,0,0,0,0,508
11,0,0,0,0,508
