intervalos,canal1,canal2,canal3,canal4,canal5
0,0,0,0,0,208
1,0,0,0,0,208
2,0,0,0,0,208
3,0,0,0,0,208
4,0,0,0,0,208
5,0,0,0,0,208
6,0,0,0,0,209
7,0,0,0,0,209
8,0,0,0,0,209
9,0,0,0,0,209
10,0,0,0,0,209
11,0,0,0,0,209
12,0,0,0,0,209
13,0,0,0,0,209
14,0,0,0,0,209
15,0,0,0,0,209
0,0,0,0,0,210
1,0,0,0,0,210
2,0,0,0,0,210
3,0,0,0,0,210
4,0,0,0,0,210
5,0,0,0,0,210
6,0,0,0,0,210
7,0,0,0,0,210
8,0,0,0,0,211
9,0,0,0,0,211
10,0,0,0,0,211
11,0,0,0,0,211
12,0,0,0,0,211
13,0,0,0,0,211
14,0,0,0,0,211
15,0,0,0,0,211
0,0,0,0,0,211
1,0,0,0,0,211
2,0,0,0,0,211
3,0,0,0,0,211
4,0,0,0,0,212
5,0,0,0,0,212
6,0,0,0,0,212
7,0,0,0,0,212
8,0,0,0,0,212
9,0,0,0,0,212
10,0,0,0,0,212
11,0,0,0,0,212
12,0,0,0,0,212
13,0,0,0,0,212
14,0,0,0,0,213
15,0,0,0,0,213
0,0,0,0,0,213
1,0,0,0,0,213
2,0,0,0,0,213
3,0,0,0,0,213
4,0,0,0,0,213
5,0,0,0,0,213
6,0,0,0,0,213
7,0,0,0,0,213
8,0,0,0,0,213
9,0,0,0,0,213
10,0,0,0,0,213
11,0,0,0,0,214
12,0,0,0,0,214
13,0,0,0,0,214
14,0,0,0,0,214
15,0,0,0,0,214
0,0,0,0,0,214
1,0,0,0,0,214
2,0,0,0,0,214
3,0,0,0,0,214
4,0,0,0,0,214
5,0,0,0,0,214
6,0,0,0,0,214
7,0,0,0,0,214
8,0,0,0,0,214
9,0,0,0,0,214
10,0,0,0,0,214
11,0,0,0,0,214
12,0,0,0,0,214
13,0,0,0,0,214
14,0,0,0,0,214
15,0,0,0,0,215
0,0,0,0,0,215
1,0,0,0,0,215
2,0,0,0,0,215
3,0,0,0,0,215
4,0,0,0,0,215
5,0,0,0,0,215
6,0,0,0,0,215
7,0,0,0,0,215
8,0,0,0,0,215
9,0,0,0,0,215
10,0,0,0,0,215
11,0,0,0,0,215
12,0,0,0,0,215
13,0,0,0,0,215
14,0,0,0,0,215
15,0,0,0,0,215
0,0,0,0,0,215
1,0,0,0,0,215
2,0,0,0,0,215
3,0,0,0,0,215
4,0,0,0,0,215
5,0,0,0,0,215
6,0,0,0,0,215
7,0,0,0,0,215
8,0,0,0,0,215
9,0,0,0,0,215
10,0,0,0,0,215
11,0,0,0,0,215
12,0,0,0,0,215
13,0,0,0,0,215
14,0,0,0,0,215
15,0,0,0,0,215
0,0,0,0,0,215
1,0,0,0,0,215
2,0,0,0,0,215
3,0,0,0,0,215
4,0,0,0,0,215
