intervalos,canal1,canal2,canal3,canal4,canal5
0,0,0,0,0,541
1,0,0,0,0,443
2,0,0,0,0,536
3,0,0,0,0,473
4,0,0,0,0,491
5,0,0,0,0,497
6,0,0,0,0,513
7,0,0,0,0,487
8,0,0,0,0,523
9,0,0,0,0,477
10,0,0,0,0,520
11,0,0,0,0,499
12,0,0,0,0,526
13,0,0,0,0,442
14,0,0,0,0,537
15,0,0,0,0,493
0,0,0,0,0,496
1,0,0,0,0,480
2,0,0,0,0,511
3,0,0,0,0,461
4,0,0,0,0,540
5,0,0,0,0,444
6,0,0,0,0,517
7,0,0,0,0,483
8,0,0,0,0,516
9,0,0,0,0,453
10,0,0,0,0,518
11,0,0,0,0,490
12,0,0,0,0,507
13,0,0,0,0,467
14,0,0,0,0,524
15,0,0,0,0,462
0,0,0,0,0,519
1,0,0,0,0,471
2,0,0,0,0,516
3,0,0,0,0,465
4,0,0,0,0,553
5,0,0,0,0,442
6,0,0,0,0,497
7,0,0,0,0,497
8,0,0,0,0,500
9,0,0,0,0,480
10,0,0,0,0,500
11,0,0,0,0,472
12,0,0,0,0,518
13,0,0,0,0,472
14,0,0,0,0,527
15,0,0,0,0,521
0,0,0,0,0,512
1,0,0,0,0,472
2,0,0,0,0,518
3,0,0,0,0,474
4,0,0,0,0,520
5,0,0,0,0,478
6,0,0,0,0,518
7,0,0,0,0,439
8,0,0,0,0,523
9,0,0,0,0,487
10,0,0,0,0,539
11,0,0,0,0,467
12,0,0,0,0,504
13,0,0,0,0,475
14,0,0,0,0,509
15,0,0,0,0,480
0,0,0,0,0,488
1,0,0,0,0,491
2,0,0,0,0,457
3,0,0,0,0,515
4,0,0,0,0,476
5,0,0,0,0,487
6,0,0,0,0,521
7,0,0,0,0,489
8,0,0,0,0,506
9,0,0,0,0,486
10,0,0,0,0,505
11,0,0,0,0,491
12,0,0,0,0,503
13,0,0,0,0,480
14,0,0,0,0,466
15,0,0,0,0,498
0,0,0,0,0,490
1,0,0,0,0,484
2,0,0,0,0,519
